director,title
Nidhi Sharma,Pooja Kiven Aa
"Mastan Alibhai Burmawalla, Abbas Alibhai Burmawalla",Race
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Race 2
Vipin Parashar,Saadey CM Saab
Vikram Pradhan,Sat Shri Akaal England
Vijay,Thaandavam
Eduardo Chauvet,The Birth Reborn
Sundar C.,Theeya Velai Seyyanum Kumaru
Sartaj Singh Pannu,Tiger
Vikramaditya Motwane,Udaan
James McTeigue,V for Vendetta
N. Linguswamy,Vettai
Ayaan Mukherji,Wake Up Sid
Sidharth Malhotra,We Are Family
Saket Behl,What the Jatt!!
Kevin Smith,Zack and Miri Make a Porno
Anjum Shahzad,Zindagi Kitni Haseen Hay
Geun-hyun Cho,26 Years
"Christian Desmares, Franck Ekinci",April and the Extraordinary World
Kyran Kelly,Barbie & Her Sisters in a Pony Tale
Adam Wood,Barbie in A Mermaid Tale
Zeke Norton,Barbie in Princess Power
Karen J. Lloyd,Barbie in Rock 'N Royals
"Andrew Tan, Michael Goguen",Barbie Star Light Adventure
William Lau,Barbie: A Fairy Secret
Ezekiel Norton,Barbie: Princess Charm School
Conrad Helten,Barbie: Spy Squad
Ezekiel Norton,Barbie: The Princess & the Popstar
"Conrad Helten, Ezekiel Norton, Michael Goguen",Barbie: Video Game Hero
Alê Abreu,Boy and the World
Carlos Therón,For Your Own Good
Francesco Carrozzini,Franca: Chaos and Creation
Noah Baumbach,Frances Ha
Vlad Yudin,Generation Iron 2
Karen J. Lloyd,Ghost Patrol
"Benjamin Turner, Gabe Turner",I Am Bolt
Steve Race,I'm in Love with a Church Girl
Brett Harvey,Ice Guardians
"Roger Allers, Gaëtan Brizzi, Paul Brizzi, Joan C. Gratz, Mohammed Saeed Harib, Tomm Moore, Nina Paley, Bill Plympton, Joann Sfar, Michael Socha",Kahlil Gibran's The Prophet
Keiichi Hara,Miss Hokusai
William Lau,Monster High: Great Scarrier Reef
"Audu Paden, Eric Radomski",Monster High: New Ghoul at School
Claude Barras,My Life as a Zucchini
"Jean-Loup Felicioli, Alain Gagnol",Phantom Boy
Toa Fraser,The Free Man
Vibeke Idsøe,The Lion Woman
Chan-sang Lim,The President's Barber
Kyoko Miyake,Tokyo Idols
"Carlos Algara, Alejandro Martinez-Beltran",Verónica
"Stephen Donnelly, Olly Reid, Jun Falkenstein",Welcome to Monster High: The Origin Story
Mikhil Musale,Wrong Side Raju
Riccardo Pilizzeri,Bombshell
Guilherme Fontes,Chatô: The King of Brazil
Aamir Bashir,Harud
Alejandro Fernández Almendras,Much Ado About Nothing
Álex de la Iglesia,My Big Night
Ishi Rudell,My Little Pony Equestria Girls: Legend of Everfree
NA,Pac's Scary Halloween
Pieter Kuijpers,Riphagen - The Untouchable
Prashant Nair,Umrika
"Paul Taublieb, Jon Freeman",Unchained: The Untold Story of Freestyle Motocross
Riccardo Milani,Welcome Mr. President
Larry Elikann,A Stoning in Fulham County
Robert Markowitz,Adam: His Song Continues
Eric Laneuville,Hard Lessons
Joel Oliansky,In Defense of a Married Man
Roy Campanella II,Quiet Victory: The Charlie Wedemeyer Story
Arthur Allan Seidelman,Strange Voices
John Herzfeld,The Ryan White Story
Buzz Kulik,Too Young the Hero
Richard Michaels,Triumph of the Heart
Linda Otto,Unspeakable Acts
Roger Young,Victim of Beauty
Vincent Kok,"All's Well, End's Well (2009)"
Fellipe Barbosa,Gabriel and the Mountain
Christian Zübert,Lommbock
David Mackenzie,Outlaw King
"David Palmer, Dax Shepard",Hit & Run
Luke Snellin,Let It Snow
Xavier Durringer,Paradise Beach
Jack C. Newell,Hope Springs Eternal
"Cecilia Atán, Valeria Pivato",The Desert Bride
Gus Van Sant,The Sea of Trees
Saratswadee Wongsomphet,Yes or No 2
Kirati Nakintanon,Yes or No 2.5
Antongiulio Panizzi,My Way
Pawan Kumar,U Turn
Patricia Rozema,Into the Forest
Trey Edward Shults,Krisha
Christian Charles,Jerry Seinfeld: Comedian
Bronwen Hughes,The Journey Is the Destination
Orlando von Einsiedel,Virunga
Phillip Youmans,Burning Cane
Zhang Yimou,Shadow
John Ridley,Let It Fall: Los Angeles 1982-1992
Lucas Margutti,Luccas Neto in: Summer Camp
Neal Brennan,Seth Meyers: Lobby Baby
Azazel Jacobs,The Lovers
Jung Ji-woo,Tune in for Love
Leslie Small,Undercover Brother 2
Tejas Prabha Vijay Deoskar,Bucket List
NA,John Leguizamo's Latin History for Morons
Anees Bazmee,Mubarakan
Jim Fall,A Holiday Engagement
Marita Grabiak,Christmas Crush
Jason Priestley,Dear Santa
Neill Blomkamp,District 9
Noah Baumbach,Kicking and Screaming
Matt D'Avella,Minimalism: A Documentary About the Important Things
Parthiban,Oththa Seruppu Size 7
Morgan Matthews,Williams
Marcus Raboy,"Dana Carvey: Straight White Male, 60"
"Kief Davidson, Richard Ladkani",The Ivory Game
"Luis Ara, Ignacio Jaunsolo",Guatemala: Heart of the Mayan World
Abhishek Sharma,The Zoya Factor
John Schultz,A Christmas Prince: The Royal Wedding
Damien O’Connor,Angela's Christmas
"Joseduardo Giordano, Sergio Goyri Jr.",El club de los insomnes
Rudy Soedjarwo,Garuda in My Heart 2
Alice Rohrwacher,Happy as Lazzaro
"Kabir Bhatia, Titien Wattimena",Love
Nandita Das,Manto
Leena Yadav,Rajma Chawal
Romain Gavras,The World Is Yours
Sebastián Hofmann,Time Share
"Heidi Brandenburg, Mathew Orzel",When Two Worlds Collide
John Luessenhop,Takers
Mike Disa,Hoodwinked Too! Hood vs. Evil
Mati Diop,Atlantics
Moses Inwang,Crazy people
Jérémy Clapin,I Lost My Body
Mandla Dube,Kalushi: The Story of Solomon Mahlangu
Mike Ezuruonye,Lagos Real Fake Life
Cheta Chukwu,Payday
Roger Russell,The Accidental Spy
Toka McBaror,The Island
Leslie Small,Holiday Rush
Frank Oz,The Score
Lu Yang,Brotherhood of Blades II: The Infernal Battlefield
Edward Zwick,Defiance
Basava Shankar Eeday,Evvarikee Cheppoddu
Prakash Satam,Little Singham: Mahabali
"Elle-Máijá Tailfeathers, Kathleen Hepburn",The Body Remembers When the World Broke Open
Martin Scorsese,The Irishman
Dante Lam,Operation Red Sea
Shreyas Talpade,Poster Boys
Seth Barrish,Mike Birbiglia: The New One
Steve Ball,Super Monsters Save Christmas
NA,True: Winter Wishes
Sanjiv Jaiswal,Pranaam
"Marta Jaenes, Rosa Márquez",What the F* Is Going On?
Daniel Raim,Harold and Lillian: A Hollywood Love Story
"Denny Lu, Mike Myhre",My Little Pony Friendship Is Magic: Best Gift Ever
Luis Ara,Perú: Tesoro escondido
María Jose Cuevas,Beauties of the Night
Oz Rodriguez,Michael Che Matters
"Aleksandr Chernyaev, Fedor Lyass",Awake
Robert Altman,Popeye
Ric Roman Waugh,Shot Caller
"Cary Murnion, Jonathan Milott",Bushwick
Jon Alpert,Cuba and the Cameraman
Ibai Abad,The Girl from the Song
"Charles A. Nichols, Iwao Takamoto",Charlotte's Web
David Ayer,End of Watch
John Irvin,Hamburger Hill
Simon Wells,The Time Machine
Julio Soto Gurpide,Deep
Julien Abraham,Brother
Tsutomu Mizushima,Girls und Panzer der Film
NA,Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal
"Nate Adams, Adam Carolla",Shelby American
Clay Kaytis,The Christmas Chronicles
"Barbra Streisand, Jim Gable",Barbra: The Music ... The Mem'ries ... The Magic!
"Qaushiq Mukherjee, Nikon",Ludo
Chris Sparling,Mercy
Qaushiq Mukherjee,The Land of Cards
Kathryn Bigelow,K-19: The Widowmaker
Monika Mitchell,The Knight Before Christmas
"Noah Baumbach, Jake Paltrow",De Palma
Fernando Colomo,The Tribe
Josh Wakely,Beat Bugs: All Together Now
Troy Miller,Brian Regan: Nunchucks and Flamethrowers
Jacob Kornbluth,Saving Capitalism
Jon Gunn,The Case for Christ
"Jan Suter, Raúl Campos Delgado",Carlos Ballarta: El amor es de putos
Anne Fontaine,Adore
Joshua Caldwell,Be Somebody
Mike Judge,Beavis and Butt-head Do America
Bruce W. Smith,Bebe's Kids
Eva Orner,"Bikram: Yogi, Guru, Predator"
Craig Brewer,Black Snake Moan
"Àlex Pastor, David Pastor",Carriers
KVR Mahendra,Dorasaani
Andrew Jenks,Dream/Killer
Ivan Reitman,Evolution
John Schlesinger,Eye for an Eye
Akiva Schaffer,Hot Rod
Andy Tennant,It Takes Two
Juan Carlos Rulfo,"Lorena, Light-Footed Woman"
Christian Ditter,"Love, Rosie"
Raj R,Mallesham
Sergio Leone,Once Upon a Time in the West
Jim Field Smith,She's Out of My League
Bruce McCulloch,Superstar
Steven Spielberg,The Adventures of Tintin
William Brent Bell,The Devil Inside
Hugh WIlson,The First Wives Club
Sam Raimi,The Gift
Neal Brennan,"The Goods: Live Hard, Sell Hard"
Robert Aldrich,The Longest Yard
Marco Schnabel,The Love Guru
Francis Ford Coppola,The Rainmaker
Lasse Hallström,What's Eating Gilbert Grape
Oliver Stone,World Trade Center
Jason Reitman,Young Adult
Raja Gosnell,"Yours, Mine and Ours"
David Fincher,Zodiac
Robert Vince,Puppy Star Christmas
Rocky Soraya,Sabrina
Raditya Dika,Target
David Paul Meyer,Trevor Noah: Son of Patricia
NA,100 Things to do Before High School
Savage Steve Holland,A Fairly Odd Summer
Savage Steve Holland,Big Time Movie
Troy Nixey,Don't Be Afraid of the Dark
Scott McAboy,Escape from Mr. Lemoncello’s Library
"Raymie Muzquiz, Stu Livingston",Hey Arnold! The Jungle Movie
Stephen Herek,Jinxed
Joe Menendez,LEGENDS OF THE HIDDEN TEMPLE
Vince Marcello,"Liar, Liar, Vampire"
David R. Ellis,Shark Night
Eric Bross,The Boy Who Cried Werewolf
Will Eisenberg,The Massively Mixed-Up Middle School Mystery
Matheus Souza,Ana e Vitória
Sara Dosa,ReMastered: Tricky Dick & The Man in Black
Bradley Walsh,The Holiday Calendar
Orson Welles,The Other Side of the Wind
Morgan Neville,They’ll Love Me When I’m Dead
Benjamin Ross,Thorne: Scaredy Cat
Stephen Hopkins,Thorne: Sleepyhead
Steve Paley,Iliza Shlesinger: Unveiled
"Shannon Hartman, Michelle Caputo",Donald Glover: Weirdo
Leslie Iwerks,The Pixar Story
Na Hyeon,The Prison
Jerry Seinfeld,Colin Quinn: The New York Story
Houda Benyamina,Divines
"Jerry Rothwell, Reuben Atlas",Sour Grapes
Kristin Hanggi,Naomi and Ely's No Kiss List
Joe Dante,Splatter
Alex Zamm,A Christmas Prince
Chris Smith,"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Clifton"
Tilak Shetty,Krish Trish and Baltiboy: Face Your Fears
Dee Rees,Mudbound
Glenn Miller,Santa Claws
Nicolas Winding Refn,Drive
Timo Vuorensola,Iron Sky: The Coming Race
Robb Dipple,Jeff Dunham: All Over the Map
Sarah Gavron,Suffragette
Eli Roth,The Green Inferno
Daniel Goldhaber,Cam
Asri Bendacha,Follow Me
Fred Cavayé,Nothing to Hide
"Joel Coen, Ethan Coen",The Ballad of Buster Scruggs
NA,The Princess Switch
Shane Acker,9
Wash Westmoreland,Earthquake Bird
Alessandro Angulo,El sendero de la anaconda
Mauro Scandolari,GO! The Unforgettable Party
Arjun Jandyala,Guna 369
"Shashanka Ghosh, Samit Basu",House Arrest
Naoko Yamada,K-on! the movie
Sergio Pablos,Klaus
Anand Tucker,Leap Year
Valli Bindana,SunGanges
"Nate Adams, Adam Carolla",The 24 Hour War
Makoto Shinkai,The Garden of Words
V C Abhilash,Aalorukkam
Justin G. Dyck,Christmas Wedding Planner
Nila Madhab Panda,Halkaa
Sameer Vidwans,Mala Kahich Problem Nahi
Timo Tjahjanto,May the Devil Take You
Nakul Singh Sawhney,Muzaffarnagar Baaqi Hai
"Nishanth Ravindaran, Jathin Sanker Raj",Odu Raja Odu
"Bill Guttentag, Michael Ware",Only the Dead
Gajendra Ahire,Pimpal
Swapna Waghmare Joshi,Savita Damodar Paranjpe
Raymond McGrath,Shopkins: Chef Club
"Adele K. Thomas, Richard Bailey",Shopkins: Wild
Richard Bailey,Shopkins: World Vacation
Julien Leclercq,The Crew
"Aitor Arregi, Jon Garaño",The Giant
Remo D'Souza,A Flying Jatt
"Radhika Rao, Vinay Sapru",Lucky: No Time for Love
Volker Weicker,Dieter Nuhr: Nuhr in Berlin
Manjeet Singh,Mumbai Cha Raja
Nick Mead,Clarence Clemons: Who Do I Think I Am?
Gautier & Leduc,Fadily Camara : La plus drôle de tes copines
Marcus Raboy,DeRay Davis: How to Act Black
Timothy Woodward Jr.,Hickok
Lance Bangs,Chelsea Peretti: One of the Greats
Matt Piedmont,Casa de mi Padre
Erik Matti,BuyBust
Christopher Guest,Loudon Wainwright III: Surviving Twin
John Scheinfeld,Chasing Trane
Rhys Thomas,John Mulaney: The Comeback Kid
Christopher Storer,Jeff Garlin: Our Man In Chicago
Jeremy Saulnier,Green Room
"Jennifer Baichwal, Nicholas de Pencier",Long Time Running
Tom Ford,A Single Man
J.M. Berrios,Submission
Josh Aronson,To Be of Service
Alain Desrochers,Bon Cop Bad Cop 2
Jeff Wadlow,True Memoirs of an International Assassin
Laurent Cantet,The Workshop
Shannon Hartman,Bill Burr: Let It Go
"Raúl Campos, Jan Suter",Mea Culpa
Natalia Valdebenito,Natalia Valdebenito: Gritona
Marcelo Galvão,The Killer
Lorene Machado,Kathleen Madigan: Bothering Jesus
Richard Donner,16 Blocks
Kevin Reynolds,187
Marina Seresesky,A Remarkable Tale
Tony Kaye,American History X
Kenny Leon,American Son
Peter Segal,Anger Management
"David Salzberg, Christian Tureaud",Apache Warrior
Daniel Mann,Butterfield 8
Richard Brooks,Cat on a Hot Tin Roof
Michael Kampa,Christmas Break-In
Harvey Lowry,Christmas in the Heartland
James Dearden,Christmas Survival
Jack Starrett,Cleopatra Jones
Les Mayfield,Code Name: The Cleaner
David Lean,Doctor Zhivago
Tarun Mansukhani,Drive
Jennifer Westcott,Elliot the Littlest Reindeer
Robert Clouse,Enter the Dragon
Valeria Golino,Euphoria
Stuart Baird,Executive Decision
Gregory Hoblit,Fallen
Terry Gilliam,Fear and Loathing in Las Vegas
"Drea Cooper, Zackary Canepari",Fire in Paradise
Fred M. Wilcox,Forbidden Planet
David Silberg,Getting Played
"Vincente Minnelli, Charles Walters",Gigi
Robert Altman,Gosford Park
Mathieu Kassovitz,Gothika
Randal Kleiser,Grease
NA,Harlem Globetrotters: The Team That Changed the World
Ernie Barbarash,Holiday in the Wild
Michael A. Nickles,Holly Star
Ken Marino,How to Be a Latin Lover
Lionel C. Martin,How to Be a Player
Clint Eastwood,Invictus
Joe Boyd,Jimi Hendrix
Jeffrey W. Byrd,King's Ransom
Scott Stewart,Legion
Alfonso Arau,Like Water for Chocolate
Ellen Weissbrod,Listen Up! The Lives of Quincy Jones
Michael Anderson,Logan's Run
Stanley Kubrick,Lolita
Theodore Witcher,Love Jones
"Callie Khouri, Jesse V. Johnson",Mad Money
Brett Ratner,Money Talks
Gil Kenan,Monster House
"Lewis Milestone, Carol Reed",Mutiny on the Bounty
Jared Hess,Nacho Libre
Gene Quintano,National Lampoon's Loaded Weapon 1
Lewis Milestone,Ocean's Eleven
Charles Stone III,Paid in Full
Nicholas Ray,Rebel Without a Cause
Sam Mendes,Revolutionary Road
Roman Polanski,Rosemary's Baby
John Dahl,Rounders
Stanley Tong,Rumble in the Bronx
Blayne Weaver,Santa Girl
Billy Bob Thornton,Sling Blade
Sam O'Steen,Sparkle
Sam Raimi,Spider-Man 3
"David Fairhead, Anthony Palmer",Spitfire: The Plane that Saved the World
Adam McKay,Step Brothers
Gordon Parks,Superfly
Neil Jordan,The Brave One
John Stephenson,The Christmas Candle
Norman Jewison,The Cincinnati Kid
David Fincher,The Game
John Dahl,The Great Raid
Manolo Caro,The House of Flowers Presents: The Funeral
David Michôd,The King
Tony Scott,The Last Boy Scout
Marco Bonfanti,The Man Without Gravity
"Lilly Wachowski, Lana Wachowski",The Matrix
"Lilly Wachowski, Lana Wachowski",The Matrix Reloaded
"Lilly Wachowski, Lana Wachowski",The Matrix Revolutions
Everardo González,The Old Thieves: The Legend of Artegios
Alan J. Pakula,The Pelican Brief
Kevin Donovan,The Tuxedo
Charlotte Zwerin,"Thelonious Monk: Straight, No Chaser"
NA,True: Grabbleapple Harvest
Pete Travis,Vantage Point
Nick Moore,Wild Child
"Rodrigo Guardiola, Gabriel Cruz Rivas",Zoé: Panoramas
Ruben Fleischer,Zombieland
Neeraj Pandey,A Wednesday
Indrajit Nattoji,Aagey Se Right
Raj Kumar Gupta,Aamir
Remo D'Souza,ABCD 2
Remo D'Souza,ABCD: Any Body Can Dance
Arnab Chaudhuri,Arjun: The Warrior Prince
Rana Ranbir,Asees
Anurag Basu,Barfi!
David Zucker,BASEketball
Momoko Kamiya,Calico Critters: A Town of Dreams
Momoko Kamiya,Calico Critters: The Treasure of Calico Village
Harry Baweja,Chaar Sahibzaade
Ken Ghosh,Chance Pe Dance
Justin G. Dyck,Christmas With A View
"Priyadarshan, Kookie V. Gulati",Chup Chup Ke
Vivek Agnihotri,Dhan Dhana Dhan Goal
Umesh Shukla,Dhoondte Reh Jaoge
Habib Faisal,Do Dooni Chaar
Bobby Roth,Edge of Fear
Halder Gomes,"Edmilson Filho: Notas, Comedy about Relationships"
Tony Zierra,Filmworker
Amitoj Mann,Gaddar: the Traitor
Raj Kumar Gupta,Ghanchakkar
B. Unnikrishnan,Grandmaster
Milan Luthria,Hattrick
Madhur Bhandarkar,Heroine
Sajid Khan,Himmatwala
Saji Surendran,Husbands in Goa
Ksshitij Chaudhary,Jatts in Golmaal
Abhishek Kapoor,Kai Po Che!
Sundar C.,Kalakalappu
Gary Binkow,Katt Williams: The Pimp Chronicles: Pt. 1
Nikhil Advani,Katti Batti
Anurag Basu,Life in a ... Metro
Lance Bangs,Marc Maron: Thinky Pain
Chad Hartigan,Morris from America
Nishikant Kamat,Mumbai Meri Jaan
Navinder Pal Singh,Mundeyan Ton Bachke Rahin
Raj Kumar Gupta,No One Killed Jessica
Dibakar Banerjee,Oye Lucky! Lucky Oye!
Tigmanshu Dhulia,Paan Singh Tomar
Kunal Deshmukh,Raja Natwarlal
Prakash Jha,Satyagraha
R. Kannan,Settai
Gaurav Narayanan,Sigaram Thodu
Kevin Layne,Sommore: The Reign Continues
Jon J. Whelan,Stink!
Leanne Gater,The Tigers of Scotland
Jennifer M. Kroot,The Untold Tales of Armistead Maupin
Jay Russell,The Water Horse: Legend of the Deep
Wally Pfister,Transcendence
Akin Omotoso,Vaya
Shyam Benegal,Welcome to Sajjanpur
NA,Yeh Hai Bakrapur
Satyajit Bhatkal,Zokkomon
Bharat Jain,6-5=2
Alo Sarkar,Bandie
Rajeev Chaudhari,Beiimaan Love
Vishal Mishra,Coffee with D
Iñaki Dorronsoro,Getaway Plan
Takuya Inaba,Golden Time
"Ali Bin Matar, Ibrahim Bin Mohamed",Hajwala: The Missing Engine
Daniel Ablin,Hitler's Steel Beast
Buta Singh,Kacche Dhaagey
"Abbas Alibhai Burmawalla, Mastan Alibhai Burmawalla",Kis Kisko Pyaar Karoon
Jami,Moor
NA,One Heart: The A.R. Rahman Concert Film
Ali Samadi Ahadi,Pettersson and Findus 2
Anurag Singh,Punjab 1984
Ashok Nanda,Rivaaz
Navaniat Singh,Romeo Ranjha
Shweta Basu Prasad,Roots
Jesse V. Johnson,Savage Dog
D Ho,The Bittersweet
Jitender Pawar,Trip to Bhangarh: Asia's Most Haunted Place
Erik Canuel,Undercover Grandpa
Param Gill,Waarrior Savitri
Jack Zagha Kababie,Warehoused
Ksshitij Chaudhary,Yaara O Dildaara
Richard Mears,A Grand Night In: The Story of Aardman
"Heidi Ewing, Rachel Grady",Norman Lear: Just Another Version of You
Moto Sakakibara,Santa Pac's Merry Berry Day
Emilio Martínez Lázaro,Spanish Affair 2
Craig Monahan,The Interview
Gillian Armstrong,The Last Days of Chez Nous
"Jon Reiner, Brad Rothschild",Tree Man
John Duigan,Winter of Our Dreams
Mu Chu,Young Tiger
Henry Sarwer-Foner,A Russell Peters Christmas
"Will Lovelace, Dylan Southern",Aziz Ansari: Buried Alive
Jim Monaco,Mad Ron's Prevues from Hell
Sherif Ismail,Antar: Son of Shadad
Dava Whisenant,Bathtubs Over Broadway
Yen Cheng-kuo,Gatao 2: Rise of the King
James Wan,Insidious
Karim El Sobky,Lion's Heart
Mohamed Samy,Regatta
Sameh Abdulaziz,Tattah
Husam El-Gohari,The Bulbul's Nest
Liz Plonka,"Norm Macdonald: Hitler's Dog, Gossip & Trickery"
Sam Patton,Desolation
Bobcat Goldthwait,Hari Kondabolu: Warn Your Relatives
Rupert Jones,Kaleidoscope
Sonia Kennebeck,National Bird
David Pablos,The Chosen Ones
Maya Gallus,The Heat: A Kitchen (R)evolution
"Cavi Borges, Luciano Vidigal",City of God: 10 Years Later
Dani Levy,My Fuhrer
Alma Har'el,LoveTrue
"Alex Parkinson, Richard da Costa",Last Breath
Kevin Peeples,Like Arrows
Frant Gwo,The Wandering Earth
Steven Spielberg,War Horse
Jay Karas,Ali Wong: Baby Cobra
Harrison Smith,Death House
Sonny Mallhi,Family Blood
Robert Vince,Pup Star: World Tour
Jeff Garlin,Handsome: A Netflix Mystery Movie
"Jan Suter, Raúl Campos",Simplemente Manu NNa
Michael Barnett,The Mars Generation
Andrew Nackman,4th Man Out
Ole Bornedal,Just Another Love Story
Andrew Niccol,Anon
Isabelle Nanty,Dany Boon: Des Hauts De France
"Rob Epstein, Jeffrey Friedman",End Game
Antonio Morabito,Forgive Us Our Debts
Rene Bueno,Lo más sencillo es complicarlo todo
John Woo,Manhunt
Nicolás López,No Estoy Loca
Patricia Ferreira,Thi Mai
Nahnatchka Khan,Always Be My Maybe
Sachin Yardi,C Kkompany
Sachin Yardi,Chopsticks
Partho Mitra,Koi Aap Sa
Santram Varma,Krishna Cottage
Rakeysh Omprakash Mehra,Mere Pyare Prime Minister
Paul Spurrier,P
Han Han,Pegasus
Pawan Kripalani,Ragini MMS
Bhushan Patel,Ragini MMS 2
"Raj Nidimoru, Krishna D.K.",Shor In the City
Alexandra Dean,Bombshell: The Hedy Lamarr Story
Cosima Spender,Without Gorky
Simon Curtis,My Week with Marilyn
Jang Jae-hyun,Svaha: The Sixth Finger
Charlie McDowell,The One I Love
Liam Lynch,Sarah Silverman A Speck of Dust
Hao Wu,All In My Family
Gabriela Tagliavini,Despite Everything
Joe Berlinger,"Extremely Wicked, Shockingly Evil and Vile"
Ismail Farouk,It's Fine
Lee Jeong-beom,Jo Pil-ho: The Dawning Rage
William Bindley,The Last Summer
Fernando Ayllón,Si saben cómo me pongo ¿pá qué me invitan?
Maya Zinshtein,Forever Pure
Vishal Bhardwaj,Rangoon
"Jill Bauer, Ronna Gradus",Hot Girls Wanted
Justin McConnell,Lifechanger
"Lasse Hallström, Joe Johnston",The Nutcracker and the Four Realms
Bryce Wagoner,After Porn Ends
Steven Brill,The Do-Over
Kim Sung-hoon,Rampant
Norberto López Amado,Sara's Notebook
Mary Mazzio,I Am Jane Doe
Joe Piscatella,Joshua: Teenager vs. Superpower
Rahul Dholakia,Raees
David Michôd,War Machine
Mark Craig,The Last Man on the Moon
Ketan Mehta,Colours of Passion
"Raúl Campos, Jan Suter",Fernando Sanjiao: Hombre
Alex Richanbach,Ibiza
Marcus Raboy,Steve Martin and Martin Short: An Evening You Will Forget for the Rest of Your Life
Christopher Smith,Detour
Nadia Hallgren,After Maria
Sudabeh Mortezai,Joy
McG,Rim of the World
Richard Shepard,The Perfection
Matthew Cooke,Survivors Guide to Prison
"Mike Diva, Akiva Schaffer",The Lonely Island Presents: The Unauthorized Bash Brothers Experience
Jean-Patrick Benes,Arès
Christopher Storer,Hasan Minhaj: Homecoming King
Trisha Ziff,A Tale of Two Kitchens
Vasan Bala,The Man Who Feels No Pain
Tig Notaro,Tig Notaro Happy To Be Here
John Bridcut,Elizabeth at 90: A Family Tribute
Lance Bangs,Jen Kirkman: I'm Gonna Die Alone (And I Feel Fine)
Mike Fleiss,The Other One: The Long Strange Trip of Bob Weir
Barry Jenkins,Moonlight
Linda Mendoza,Wanda Sykes: Not Normal
Aanand Rai,Zero
Akram Farouk,Hamza's Suitcase
Christel Gibson,Her Only Choice
Andrew Stanton,John Carter
Manav Shah,Laatu
Antoine Fuqua,Olympus Has Fallen
Jimmy Henderson,Jailbreak
Jessica Yu,Maria Bamford: Old Baby
Kim Nguyen,Two Lovers and a Bear
Max Martini,SGT. Will Gardner
Nila Madhab Panda,Jalpari: The Desert Mermaid
"Ian Nelms, Eshom Nelms",Small Town Crime
Hiroyuki Seshita,BLAME!
"Lygia Barbosa da Silva, Eliane Brum",Laerte-se
Osgood Perkins,The Blackcoat's Daughter
Ken Kushner,The Brawler
"Yolanda Ramke, Ben Howling",Cargo
Kagiso Lediga,Catching Feelings
Hernán Zin,Born in Gaza
Hernán Zin,Born in Syria
Hernán Zin,Dying to Tell
Arthur Muhammad,First Impression
Pedring A. Lopez,Maria
Sam Cullman,ReMastered: The Lion's Share
Francesco Imperato,Saverio Raimondo: Il Satiro Parlante
Stefon Bristol,See You Yesterday
Brit McAdams,Katt Williams: American Hustle (The Movie)
Steve Loter,Tinker Bell and the Legend of the NeverBeast
Icíar Bollaín,Even the Rain
Kate Melville,Good Sam
Aditya Vikram Sengupta,Jonaki
David Dhawan,Kyo Kii... Main Jhuth Nahin Bolta
Neil Burger,Limitless
Dibakar Banerjee,"LSD: Love, Sex Aur Dhokha"
Apoorva Lakhia,Mission Istaanbul: Darr Ke Aagey Jeet Hai
Milan Luthria,Once Upon a Time in Mumbai Dobaara!
Mandie Fletcher,PATRICK (2019)
Michael Dowse,Take Me Home Tonight
NA,'89
Vipul Amrutlal Shah,Action Replayy
Rajkumar Santoshi,Andaz Apna Apna
Mercedes Cordova,Food on the Go
Antonio Campos,Christine
Derek Cianfrance,The Place Beyond the Pines
Ryan Polito,Tracy Morgan: Staying Alive
"Meenu Gaur, Farjad Nabi",7 Din Mohabbat In
Matthew Hope,All the Devil's Men
Asim Abbasi,Cake
Saurabh Kabra,EMI: Liya Hai To Chukana Padega
Aijaz Khan,Hamid
Anil V. Kumar,Kucch To Hai
Sangeeth Sivan,Kyaa Kool Hai Hum
Umesh Ghadge,Kyaa Kool Hain Hum 3
Milan Luthria,Once Upon a Time in Mumbaai
Apoorva Lakhia,Shootout at Lokhandwala
Midhun Manuel Thomas,Aadu 2
Neeraj Pandey,Aiyaary
Umer Adil,Chalay Thay Saath
Hayao Miyazaki,Lupin the 3rd: The Castle of Cagliostro: Special Edition
Nicolas Winding Refn,Only God Forgives
Rajiv Mehra,Chamatkar
Robert Kenner,Command and Control
Kundan Shah,Kabhi Haan Kabhi Naa
So Yong Kim,Lovesong
Alina Teodorescu,Natascha Kampusch: The Whole Story
Rajiv Mehra,Ram Jaane
NA,Smash: Motorized Mayhem
Filip Renc,The Devil's Mistress
"Femi Oyeniran, Kalvadour Peterson",The Intent
"David Morris, Jacqui Morris",Attacking the Devil: Harold Evans and the Last Nazi War Crime
Gonzalo López-Gallego,Backdraft 2
Damián Romay,Killer Cove
NA,Still LAUGH-IN: The Stars Celebrate
Abby Epstein,Weed the People
Savage Steve Holland,Malibu Rescue
Tim Maltby,Norm of the North: Keys to the Kingdom
Jay Karas,Ali Wong: Hard Knock Wife
Andy Tennant,Wild Oats
Hepi Mita,Merata: How Mum Decolonised the Screen
"Anthony Abrams, Adam Larson Broder",Spivak
"Dylan Bank, Daniel DiMauro, Morgan Pehme",Get Me Roger Stone
Sean Foley,Mindhorn
Pierre Coré,Sahara
Che Sandoval,Dry Martina
Jean-Bernard Marlin,Shéhérazade
Yee Tung-Shing,The Great Magician
"Raúl Campos, Jan Suter",Carlos Ballarta: Furia Ñera
