,loan_status,loan_amnt,grade,home_ownership,annual_inc,age,emp_cat,ir_cat
8702,1,15000,B,RENT,65000,25,0-15,11-Aug
18592,1,2000,B,OWN,56000,24,15-30,11-13.5
6821,1,3000,C,RENT,31400,31,0-15,Missing
24205,1,7500,D,RENT,37000,28,0-15,13.5+
11448,1,2000,C,RENT,39500,24,0-15,13.5+
7004,1,4000,B,RENT,26400,24,0-15,Missing
25119,1,7800,C,RENT,34000,21,0-15,13.5+
21366,1,15000,D,RENT,75600,30,0-15,13.5+
5697,1,13000,A,RENT,42000,26,0-15,0-8
16231,1,10000,B,MORTGAGE,60000,25,0-15,11-13.5
6682,1,35000,B,MORTGAGE,110000,30,0-15,11-Aug
7628,1,2400,B,OWN,372000,30,Missing,11-Aug
3150,1,12000,D,RENT,60000,25,Missing,13.5+
19790,1,15000,B,MORTGAGE,67000,29,0-15,11-Aug
6208,1,9600,F,RENT,60000,23,0-15,13.5+
24248,1,19800,C,MORTGAGE,107000,23,0-15,11-13.5
16234,1,12000,A,MORTGAGE,52000,24,0-15,0-8
24336,1,15000,B,MORTGAGE,50000,23,0-15,11-13.5
24005,1,4000,D,RENT,54996,27,0-15,13.5+
13239,1,12000,E,MORTGAGE,57600,34,0-15,13.5+
7215,1,1000,D,MORTGAGE,27000,23,0-15,13.5+
3577,1,10800,D,RENT,75000,23,0-15,13.5+
436,1,10000,B,OWN,36000,30,0-15,11-13.5
19267,1,25000,D,RENT,50000,24,0-15,13.5+
16523,1,3000,C,RENT,42000,23,0-15,Missing
4319,1,12000,C,OWN,87500,21,0-15,Missing
1416,1,10000,D,MORTGAGE,40000,28,15-30,13.5+
9963,1,5000,C,RENT,35000,26,0-15,11-13.5
26670,1,10000,A,RENT,30000,22,0-15,11-Aug
6609,1,10000,B,MORTGAGE,150000,30,0-15,11-Aug
9345,1,2000,A,MORTGAGE,26784,21,Missing,0-8
18998,1,16000,C,MORTGAGE,53000,23,0-15,13.5+
9671,1,5000,B,OWN,25000,27,0-15,11-Aug
10427,1,10000,B,RENT,45000,23,0-15,11-13.5
27409,1,10000,C,RENT,40000,25,0-15,13.5+
72,1,6200,B,RENT,25000,36,0-15,11-Aug
3147,1,4000,A,MORTGAGE,42000,43,Missing,0-8
25585,1,7800,B,RENT,33000,23,0-15,11-Aug
16730,1,10000,E,RENT,60000,23,0-15,13.5+
4961,1,3000,E,RENT,24000,37,0-15,13.5+
15999,1,4800,D,RENT,30000,31,0-15,13.5+
11719,1,4000,B,RENT,26004,29,0-15,11-Aug
10224,1,10800,D,RENT,54000,27,0-15,13.5+
16111,1,2400,B,RENT,46800,30,0-15,11-13.5
27375,1,7000,D,RENT,45000,24,0-15,13.5+
5945,1,3300,C,OWN,41196,33,0-15,11-13.5
13883,1,1500,C,RENT,30996,40,0-15,13.5+
24087,1,12000,C,RENT,70000,22,0-15,11-13.5
8104,1,3200,B,RENT,40000,35,0-15,11-Aug
24914,1,20000,B,MORTGAGE,124000,26,0-15,11-13.5
19788,1,3000,A,RENT,19992,28,15-30,0-8
24704,1,5075,B,RENT,20000,36,0-15,11-13.5
1308,1,1000,D,RENT,14400,21,0-15,13.5+
10986,1,5925,B,RENT,40000,25,0-15,11-13.5
26123,1,25000,B,RENT,72000,26,0-15,11-13.5
2269,1,30750,D,RENT,80000,29,0-15,Missing
6799,1,5000,C,RENT,80000,22,0-15,11-13.5
5888,1,5400,B,MORTGAGE,50000,23,0-15,11-Aug
21275,1,5600,C,MORTGAGE,66000,23,0-15,13.5+
9514,1,6000,B,RENT,60000,24,0-15,11-Aug
4135,1,14400,B,MORTGAGE,70000,22,0-15,11-13.5
3050,1,7500,C,RENT,38400,22,30-45,13.5+
25840,1,18000,B,MORTGAGE,53800,23,0-15,11-Aug
8530,1,10500,B,RENT,35000,22,0-15,11-Aug
6972,1,2000,A,RENT,56000,31,15-30,0-8
8168,1,4925,B,MORTGAGE,120000,30,0-15,Missing
15007,1,4750,D,MORTGAGE,29952,23,0-15,13.5+
22882,1,6500,D,RENT,60000,33,0-15,13.5+
15280,1,2000,D,MORTGAGE,48000,23,0-15,13.5+
9111,1,6000,C,RENT,72000,26,30-45,11-13.5
1656,1,10000,B,RENT,60000,29,0-15,11-13.5
13486,1,7000,B,MORTGAGE,29500,32,0-15,11-Aug
27143,1,15000,B,MORTGAGE,88268,23,15-30,11-13.5
22068,1,4750,C,MORTGAGE,16800,22,0-15,13.5+
18036,1,15000,C,MORTGAGE,228000,26,0-15,13.5+
205,1,12000,A,RENT,80000,30,0-15,11-Aug
2498,1,4950,B,MORTGAGE,19200,22,15-30,11-13.5
6558,1,5000,E,RENT,36000,27,0-15,13.5+
16433,1,1400,B,RENT,41652,26,0-15,11-13.5
11571,1,3000,A,RENT,50000,23,0-15,0-8
18824,1,8400,D,RENT,130000,23,0-15,13.5+
28991,1,5000,D,RENT,10000,21,0-15,11-13.5
10643,1,24000,B,MORTGAGE,53000,22,0-15,11-Aug
10550,1,12000,C,RENT,79500,23,0-15,11-13.5
22985,1,2500,B,MORTGAGE,44340,26,0-15,11-13.5
16220,1,9000,D,MORTGAGE,54000,38,15-30,13.5+
12962,1,4800,B,RENT,44100,28,0-15,11-Aug
17541,1,4800,C,RENT,38900,35,0-15,11-13.5
9859,1,10000,A,OWN,59000,28,15-30,0-8
10777,1,10000,C,RENT,52000,23,0-15,11-13.5
8223,1,9000,B,MORTGAGE,90300,27,0-15,Missing
17513,1,20000,B,MORTGAGE,80400,28,0-15,Missing
16598,1,23000,B,MORTGAGE,89000,32,0-15,11-13.5
24763,1,1500,B,RENT,18000,21,0-15,11-13.5
16269,1,5000,C,OWN,16800,28,Missing,13.5+
4989,1,13600,B,MORTGAGE,91000,30,45+,11-13.5
4983,1,8500,C,MORTGAGE,78000,22,0-15,13.5+
4633,1,3000,A,MORTGAGE,37000,32,15-30,0-8
9278,1,8000,C,RENT,58000,24,0-15,13.5+
15765,1,8700,C,MORTGAGE,25200,36,0-15,11-13.5
18242,1,7000,B,OWN,24000,21,0-15,11-13.5
16836,1,5000,D,OWN,25000,32,0-15,13.5+
19424,1,2500,B,RENT,24996,22,0-15,11-Aug
11025,1,7000,B,RENT,55000,36,0-15,11-Aug
3271,1,1500,D,RENT,27000,24,0-15,13.5+
1047,1,9600,D,RENT,42000,22,0-15,13.5+
3363,1,8000,C,RENT,61700,26,0-15,11-13.5
27290,1,5000,F,MORTGAGE,45000,22,0-15,13.5+
18020,1,15000,D,MORTGAGE,54996,21,15-30,13.5+
5404,1,8500,C,RENT,52968,22,0-15,Missing
26978,1,10000,C,RENT,60000,22,0-15,13.5+
23213,1,17000,E,MORTGAGE,64800,34,0-15,13.5+
16648,1,5000,E,RENT,43000,24,0-15,13.5+
25538,1,18000,B,RENT,70000,28,0-15,11-13.5
18794,1,18250,E,MORTGAGE,48000,24,Missing,13.5+
21650,1,4750,C,MORTGAGE,85000,32,0-15,11-13.5
25258,1,9000,A,RENT,85004,27,0-15,11-Aug
18212,1,6000,B,RENT,35004,31,0-15,11-Aug
23028,1,8500,C,RENT,40000,23,0-15,13.5+
3559,1,4000,C,RENT,63700,33,15-30,Missing
24445,1,9000,D,OWN,44000,24,0-15,13.5+
13564,1,5500,D,RENT,21700,21,0-15,13.5+
17473,1,15000,D,RENT,65004,25,0-15,13.5+
17356,1,2400,C,RENT,16800,24,0-15,13.5+
22322,1,9000,C,RENT,98000,47,0-15,11-13.5
451,1,3600,B,MORTGAGE,60000,26,0-15,11-13.5
11166,1,4200,A,OWN,32700,24,0-15,0-8
19810,1,9200,B,RENT,22800,22,Missing,11-Aug
12397,1,12000,B,MORTGAGE,180000,26,0-15,11-Aug
13768,1,25000,D,MORTGAGE,81000,22,0-15,13.5+
16856,1,4800,B,MORTGAGE,52000,29,15-30,11-13.5
19885,1,6000,B,RENT,46680,22,0-15,11-13.5
23827,1,11000,A,RENT,21000,31,15-30,11-Aug
9680,1,7000,B,RENT,37000,23,0-15,Missing
19362,1,24000,E,MORTGAGE,97584,25,0-15,13.5+
25386,1,15000,B,MORTGAGE,62004,23,0-15,11-13.5
25109,1,25000,E,RENT,108000,25,0-15,13.5+
1044,1,6000,B,RENT,45000,29,0-15,11-13.5
11889,1,3000,C,RENT,18000,23,0-15,11-13.5
26824,1,2475,D,RENT,72000,28,15-30,13.5+
26298,1,3500,C,MORTGAGE,128000,27,0-15,11-13.5
5522,1,7000,B,RENT,30000,21,0-15,11-Aug
23713,1,8000,D,RENT,115000,28,0-15,13.5+
20527,1,18300,B,MORTGAGE,79000,25,0-15,11-Aug
23073,1,6000,A,RENT,105000,22,0-15,11-Aug
7398,1,14000,A,MORTGAGE,83000,21,0-15,11-Aug
19131,1,10000,D,RENT,50004,29,0-15,13.5+
6068,1,15000,A,MORTGAGE,54000,26,0-15,0-8
28859,1,25000,B,RENT,1.00E+05,25,0-15,11-Aug
16478,1,5000,A,MORTGAGE,70000,24,15-30,0-8
14557,1,4500,C,MORTGAGE,50000,34,0-15,11-13.5
27762,1,7500,B,MORTGAGE,78955,22,0-15,Missing
5230,1,7100,A,RENT,50400,23,0-15,0-8
20738,1,20000,B,RENT,64000,26,0-15,11-Aug
4869,1,6250,A,MORTGAGE,38484,22,0-15,0-8
18956,1,1600,A,RENT,35000,23,0-15,0-8
2869,1,3825,C,RENT,28500,22,0-15,13.5+
14744,1,9000,A,RENT,35000,29,0-15,0-8
22023,1,15000,C,MORTGAGE,73392,34,0-15,13.5+
11837,1,12375,B,MORTGAGE,39552,30,0-15,11-Aug
26393,1,25000,C,RENT,115000,36,0-15,11-13.5
25143,1,5000,B,MORTGAGE,30000,22,0-15,11-13.5
24938,1,3000,D,OWN,22000,24,0-15,13.5+
27411,1,6000,B,RENT,38004,30,0-15,Missing
20815,1,25000,B,RENT,220000,40,0-15,11-Aug
1927,1,2800,D,RENT,43200,25,0-15,13.5+
9850,1,1000,B,RENT,35000,25,0-15,11-13.5
28467,1,21000,B,RENT,65000,22,0-15,11-Aug
21148,1,18000,C,MORTGAGE,72000,23,0-15,13.5+
28445,1,15000,C,OWN,149616,27,0-15,11-13.5
24975,1,10500,C,OWN,70500,23,0-15,13.5+
21222,1,25000,G,MORTGAGE,60000,29,0-15,13.5+
25153,1,1250,C,RENT,14400,31,0-15,Missing
10347,1,1600,C,MORTGAGE,28500,27,0-15,11-13.5
12983,1,1000,C,RENT,38000,24,0-15,11-13.5
3512,1,11000,B,MORTGAGE,29232,24,0-15,11-13.5
26051,1,8000,B,RENT,23148,23,0-15,Missing
24685,1,4200,C,RENT,61512,27,15-30,13.5+
28015,1,7500,D,RENT,129996,39,0-15,11-13.5
13309,1,3000,B,RENT,41000,28,0-15,11-13.5
12807,1,7000,E,OWN,75996,26,0-15,13.5+
9452,1,4650,C,RENT,43000,32,0-15,11-13.5
24037,1,16000,C,RENT,60000,42,0-15,11-13.5
17882,1,1000,C,MORTGAGE,74000,32,0-15,13.5+
9069,1,5000,C,RENT,43200,39,0-15,13.5+
5620,1,7500,B,RENT,30000,21,0-15,11-Aug
22564,1,5000,D,RENT,51200,27,15-30,13.5+
16239,1,7750,A,MORTGAGE,21424,29,0-15,0-8
2672,1,3000,C,RENT,36000,29,0-15,Missing
3028,1,12000,A,MORTGAGE,53000,25,15-30,0-8
11523,1,9250,B,OWN,19200,26,0-15,Missing
22371,1,4800,E,RENT,73200,22,0-15,13.5+
17897,1,2000,B,OWN,55308,42,0-15,11-13.5
10734,1,10000,B,MORTGAGE,127000,40,15-30,11-13.5
1017,1,7200,B,RENT,50000,24,0-15,11-13.5
11454,1,6000,B,RENT,30000,28,0-15,11-Aug
7081,1,9600,A,RENT,65000,26,0-15,0-8
21633,1,5600,D,RENT,14400,22,0-15,13.5+
17625,1,2800,D,RENT,80000,23,15-30,13.5+
3284,1,4200,B,RENT,28080,22,Missing,11-Aug
13809,1,10000,C,MORTGAGE,132000,27,0-15,11-13.5
17056,1,10000,E,MORTGAGE,60000,23,0-15,13.5+
1930,1,6100,E,OWN,70000,24,0-15,13.5+
22139,1,7750,E,OWN,13920,23,0-15,13.5+
26349,1,10000,C,OTHER,37800,25,0-15,11-13.5
23450,1,8000,D,RENT,61000,24,0-15,13.5+
27660,1,3000,A,RENT,64170,22,0-15,11-Aug
4116,1,2000,B,RENT,48000,24,0-15,11-13.5
8473,1,5000,A,RENT,40000,39,0-15,11-Aug
14109,1,5000,B,MORTGAGE,98000,25,0-15,11-Aug
133,1,10000,C,RENT,65000,35,0-15,11-13.5
11487,1,4000,A,MORTGAGE,43200,23,15-30,0-8
7912,1,8500,C,MORTGAGE,59826,26,30-45,13.5+
13162,1,15000,C,RENT,75000,23,30-45,11-13.5
16084,1,10000,A,RENT,31000,23,0-15,0-8
13466,1,1000,A,OWN,33240,41,Missing,0-8
23931,1,6000,D,MORTGAGE,53360.32,26,0-15,13.5+
25991,1,7600,C,RENT,45000,25,0-15,11-13.5
975,1,2800,A,RENT,27000,22,0-15,0-8
22713,1,6200,B,OWN,24000,31,0-15,11-13.5
1094,1,10275,A,RENT,32400,29,0-15,0-8
4954,1,4750,C,MORTGAGE,55500,27,0-15,13.5+
4652,1,10000,C,RENT,132600,31,0-15,11-13.5
5195,1,10000,C,RENT,38000,25,0-15,11-13.5
8277,1,7400,C,RENT,49995,24,Missing,13.5+
19264,1,12000,C,RENT,60000,39,0-15,13.5+
26730,1,20000,C,OWN,45000,27,0-15,11-13.5
27946,1,7500,D,RENT,23196,24,0-15,11-13.5
4143,1,9800,A,RENT,50000,23,0-15,0-8
580,1,7125,A,MORTGAGE,30000,21,0-15,0-8
3089,1,2700,A,MORTGAGE,88000,23,0-15,0-8
21343,1,3800,C,MORTGAGE,68500,32,0-15,11-13.5
25357,1,4400,C,MORTGAGE,51480,23,0-15,11-13.5
1025,1,5000,C,MORTGAGE,42000,21,0-15,13.5+
1612,1,15000,C,RENT,48000,24,15-30,13.5+
13073,1,25000,B,OWN,55000,22,0-15,11-Aug
17782,1,4000,D,RENT,38400,22,0-15,Missing
23483,1,25000,B,RENT,2.00E+05,29,0-15,11-13.5
1172,1,8000,B,RENT,36000,29,0-15,11-13.5
24363,1,20000,B,RENT,85000,26,0-15,11-13.5
25318,1,3000,B,MORTGAGE,58704,26,0-15,11-Aug
22398,1,20000,B,RENT,240000,32,0-15,11-13.5
3017,1,5000,C,MORTGAGE,54000,28,0-15,13.5+
9129,1,1300,C,RENT,70000,24,45+,11-13.5
19454,1,6000,D,RENT,15000,22,0-15,13.5+
2359,1,10000,C,RENT,30000,23,0-15,13.5+
7710,1,9600,B,MORTGAGE,93600,23,Missing,Missing
21361,1,16000,F,MORTGAGE,85000,31,0-15,13.5+
25248,1,3500,D,OTHER,27568,21,0-15,13.5+
26941,1,5500,C,MORTGAGE,24900,22,0-15,11-13.5
5150,1,14000,A,MORTGAGE,66000,22,Missing,0-8
3687,1,7000,C,OWN,130000,29,0-15,13.5+
3997,1,8500,B,MORTGAGE,62400,33,0-15,11-13.5
13256,1,3600,D,RENT,39772,25,0-15,13.5+
25135,1,15000,C,MORTGAGE,95000,21,0-15,11-13.5
5793,1,15000,A,MORTGAGE,75000,26,0-15,11-Aug
24359,1,5175,B,RENT,15000,23,0-15,11-13.5
2623,1,5000,B,RENT,38000,23,Missing,11-Aug
12418,1,3600,C,OWN,35000,25,0-15,11-13.5
25729,1,8000,D,RENT,52000,26,0-15,13.5+
9846,1,9000,A,RENT,30000,26,0-15,0-8
25124,1,5000,E,MORTGAGE,32400,21,0-15,13.5+
8452,1,10000,A,MORTGAGE,72000,28,0-15,11-Aug
19363,1,23500,D,MORTGAGE,64800,22,Missing,13.5+
5974,1,9000,E,RENT,42000,35,0-15,13.5+
265,1,10000,B,RENT,35000,27,0-15,11-13.5
26062,1,3200,B,RENT,15000,26,0-15,11-13.5
9209,1,4000,C,MORTGAGE,50400,27,0-15,13.5+
29064,1,20000,E,MORTGAGE,145000,28,0-15,Missing
25354,1,4750,A,MORTGAGE,30000,21,0-15,11-Aug
27226,1,10000,A,MORTGAGE,90000,26,0-15,11-Aug
904,1,5000,A,OWN,32500,27,0-15,0-8
23710,1,9000,A,RENT,55029,23,0-15,Missing
2096,1,35000,D,RENT,162000,31,Missing,13.5+
28489,1,10600,C,RENT,39048,24,0-15,11-13.5
1450,1,16250,B,RENT,53000,26,0-15,11-13.5
14334,1,15000,A,MORTGAGE,126000,30,15-30,0-8
257,1,10000,B,RENT,32000,42,0-15,11-13.5
1205,1,7000,A,RENT,45000,22,0-15,11-Aug
20650,1,1500,A,RENT,45000,30,Missing,0-8
20135,1,10000,B,MORTGAGE,40000,21,0-15,11-Aug
23064,1,20000,B,MORTGAGE,76000,23,0-15,11-13.5
13992,1,6800,A,RENT,54000,23,0-15,0-8
23008,1,5000,C,RENT,42000,23,0-15,11-13.5
1146,1,15200,C,MORTGAGE,96000,35,0-15,13.5+
28150,1,9525,C,MORTGAGE,60417,24,0-15,11-13.5
23999,1,9000,A,RENT,42140,21,0-15,11-Aug
902,1,2400,B,RENT,43080,22,0-15,11-Aug
1914,1,10000,B,RENT,62000,26,15-30,11-13.5
14376,1,4500,C,RENT,55362,29,0-15,11-13.5
14103,1,11500,D,RENT,25200,28,0-15,13.5+
9622,1,7000,B,MORTGAGE,43200,23,0-15,11-Aug
16656,1,5000,B,MORTGAGE,85000,39,0-15,11-13.5
19676,1,20000,C,RENT,80000,26,0-15,13.5+
18635,1,3000,B,RENT,18000,22,0-15,11-13.5
1668,1,5400,D,RENT,32000,22,0-15,13.5+
28976,1,2225,C,RENT,60000,36,0-15,11-Aug
25869,1,2500,C,RENT,36000,22,0-15,11-13.5
14769,1,15000,C,RENT,31680,21,0-15,11-13.5
28287,1,11200,C,RENT,80000,34,0-15,11-13.5
1379,1,18000,A,MORTGAGE,80000,25,0-15,0-8
23934,1,3000,B,MORTGAGE,90000,25,0-15,11-13.5
26080,1,7000,A,MORTGAGE,43958,29,0-15,Missing
24393,1,14000,B,MORTGAGE,109000,22,0-15,11-13.5
2536,1,4000,D,RENT,43200,27,0-15,13.5+
26884,1,14000,D,RENT,53400,35,0-15,13.5+
14987,1,25000,D,MORTGAGE,112000,28,0-15,Missing
8474,1,2800,F,RENT,23000,22,0-15,13.5+
19269,1,2000,B,RENT,10000,24,0-15,11-Aug
7675,1,5000,C,MORTGAGE,128000,33,0-15,11-13.5
19494,1,25000,C,RENT,106000,37,0-15,11-13.5
7834,1,21000,E,RENT,150000,34,0-15,13.5+
17548,1,5000,B,MORTGAGE,78000,27,15-30,11-13.5
21878,1,16500,E,OWN,96000,26,0-15,13.5+
22907,1,5000,D,RENT,30000,21,0-15,13.5+
2863,1,1800,A,RENT,50400,37,0-15,11-Aug
10567,1,5000,B,RENT,65004,22,0-15,11-13.5
16092,1,3500,D,MORTGAGE,96000,25,15-30,13.5+
26369,1,10000,D,MORTGAGE,1.00E+05,35,0-15,13.5+
10027,1,4000,D,MORTGAGE,30000,31,0-15,13.5+
7463,1,16000,B,MORTGAGE,61000,32,0-15,11-Aug
17662,1,11000,C,OWN,34000,38,Missing,13.5+
755,1,2300,A,MORTGAGE,78000,24,0-15,Missing
27588,1,12500,G,MORTGAGE,123000,30,0-15,13.5+
6772,1,4800,B,MORTGAGE,57600,23,0-15,11-Aug
20363,1,16000,D,MORTGAGE,64000,49,0-15,13.5+
1915,1,8000,B,RENT,60780,23,Missing,11-Aug
28146,1,6400,C,MORTGAGE,1.00E+05,24,0-15,11-13.5
22209,1,17600,A,OWN,63000,24,0-15,11-Aug
11946,1,3625,B,RENT,24000,26,0-15,11-13.5
10359,1,2500,D,RENT,43000,22,0-15,13.5+
945,1,20000,D,MORTGAGE,50000,26,0-15,13.5+
22278,1,10000,F,RENT,80000,25,0-15,13.5+
26202,1,11200,C,RENT,63800,22,0-15,11-13.5
20295,1,12000,B,RENT,51449,22,0-15,Missing
26479,1,25000,C,MORTGAGE,125000,29,0-15,11-13.5
18209,1,9500,F,RENT,23040,24,0-15,13.5+
7520,1,8325,B,MORTGAGE,48000,21,0-15,Missing
17053,1,12000,D,RENT,30000,30,0-15,13.5+
6004,1,15000,E,MORTGAGE,65000,37,0-15,13.5+
406,1,11200,B,RENT,75000,30,0-15,11-13.5
20898,1,1750,C,OWN,11440,30,0-15,11-13.5
21793,1,3000,A,RENT,24000,30,0-15,Missing
27651,1,20000,B,RENT,65004,23,0-15,11-Aug
19533,1,7000,C,MORTGAGE,74400,36,0-15,11-13.5
13556,1,20000,B,RENT,44000,25,0-15,11-13.5
3635,1,25000,A,MORTGAGE,90111,30,0-15,0-8
15793,1,10000,B,MORTGAGE,50000,22,0-15,11-Aug
16145,1,23000,D,MORTGAGE,53000,31,0-15,13.5+
14189,1,10000,D,MORTGAGE,160000,25,0-15,13.5+
15652,1,5000,B,MORTGAGE,54000,31,15-30,11-Aug
1906,1,8875,A,RENT,23000,23,0-15,11-Aug
21871,1,17500,C,MORTGAGE,75000,26,0-15,Missing
3897,1,35000,B,MORTGAGE,225000,26,0-15,11-Aug
5329,1,3600,A,RENT,70000,27,0-15,0-8
7,1,9000,C,RENT,30000,22,0-15,11-13.5
25537,1,2400,B,RENT,26000,21,0-15,11-13.5
17125,1,4000,B,RENT,48000,24,0-15,11-13.5
6854,1,2000,C,OWN,35000,34,0-15,13.5+
14324,1,2000,C,RENT,33000,21,0-15,11-13.5
9232,1,4800,A,OWN,48000,22,0-15,11-Aug
14858,1,11500,B,RENT,30000,27,0-15,11-Aug
3891,1,10000,D,MORTGAGE,120000,23,0-15,Missing
28855,1,22350,E,OWN,135000,27,0-15,13.5+
17357,1,24000,F,RENT,160000,26,0-15,13.5+
2143,1,8575,E,RENT,27840,29,0-15,13.5+
5476,1,5225,A,MORTGAGE,135000,24,0-15,0-8
10988,1,2000,A,MORTGAGE,34000,25,15-30,0-8
24863,1,7000,E,RENT,40000,24,0-15,13.5+
18511,1,7200,B,RENT,25200,23,0-15,11-13.5
23698,1,25000,F,MORTGAGE,148000,24,0-15,13.5+
197,1,10000,B,RENT,39000,22,0-15,11-13.5
4823,1,10000,A,RENT,40000,25,0-15,0-8
2514,1,3825,D,RENT,14400,24,Missing,Missing
7404,1,3600,D,RENT,80000,36,0-15,13.5+
27531,1,12000,C,MORTGAGE,25000,26,0-15,11-13.5
8790,1,15000,B,RENT,1.00E+05,24,0-15,11-Aug
4028,1,18000,B,RENT,82500,23,0-15,11-Aug
10350,1,16000,C,MORTGAGE,55000,30,0-15,11-13.5
25992,1,6000,C,RENT,31500,27,0-15,11-13.5
19969,1,1500,C,OWN,48000,30,0-15,11-13.5
22435,1,10000,D,RENT,45000,22,0-15,Missing
22329,1,25000,F,RENT,54000,26,0-15,13.5+
5108,1,3000,C,RENT,55000,37,0-15,Missing
26571,1,12000,D,MORTGAGE,37000,30,0-15,13.5+
11700,1,16000,C,RENT,45000,24,0-15,11-13.5
17211,1,9000,B,RENT,120000,40,0-15,11-13.5
17374,1,8000,A,MORTGAGE,43200,24,0-15,0-8
935,1,4200,A,RENT,35000,22,0-15,0-8
28740,1,2150,C,MORTGAGE,11029,28,0-15,11-Aug
824,1,3500,B,MORTGAGE,175000,30,0-15,11-Aug
4053,1,15000,B,RENT,150000,53,0-15,11-13.5
14967,1,18725,A,RENT,36500,22,0-15,0-8
21797,1,4000,E,OWN,37200,25,Missing,13.5+
482,1,10000,C,RENT,30000,46,0-15,11-13.5
27236,1,7500,D,RENT,51063,30,0-15,13.5+
27031,1,3000,C,RENT,64992,22,0-15,11-13.5
20981,1,2000,C,MORTGAGE,50400,33,0-15,13.5+
1222,1,5000,B,MORTGAGE,142000,32,0-15,Missing
3584,1,6000,B,RENT,45600,26,0-15,11-13.5
272,1,9750,A,RENT,35000,27,0-15,0-8
17580,1,2000,D,RENT,14400,26,0-15,13.5+
3063,1,5450,C,RENT,43000,63,15-30,13.5+
8218,1,3200,A,MORTGAGE,57000,22,0-15,0-8
9752,1,5000,C,OWN,32500,23,0-15,13.5+
2142,1,2500,B,RENT,13200,22,0-15,11-Aug
28398,1,19200,C,RENT,53000,22,0-15,11-13.5
5203,1,8000,B,RENT,14400,22,0-15,11-Aug
24405,1,17000,B,MORTGAGE,63504,27,15-30,11-13.5
2041,1,7000,A,RENT,39000,35,0-15,0-8
23562,1,5000,C,MORTGAGE,52800,26,0-15,11-13.5
6205,1,4000,B,RENT,51000,38,0-15,11-13.5
18578,1,2400,C,RENT,30720,23,0-15,13.5+
14139,1,3700,A,MORTGAGE,40000,28,15-30,0-8
19626,1,8500,B,RENT,26000,36,Missing,11-Aug
14038,1,25000,B,RENT,50004,22,0-15,11-Aug
11211,1,4375,B,RENT,14400,24,0-15,Missing
24590,1,5000,E,RENT,50000,27,0-15,13.5+
24015,1,19900,B,RENT,64000,25,0-15,11-13.5
28878,1,14400,D,RENT,36120,38,0-15,11-13.5
24384,1,13475,C,RENT,35000,23,0-15,13.5+
25597,1,5000,B,MORTGAGE,50960,31,0-15,11-Aug
12298,1,4500,A,OWN,26880,36,0-15,0-8
28810,1,5000,E,RENT,38000,23,0-15,13.5+
7580,1,10000,A,MORTGAGE,50000,23,0-15,11-Aug
17452,1,20000,C,RENT,65000,26,0-15,Missing
26925,1,15000,E,MORTGAGE,59950,23,0-15,13.5+
17856,1,1050,A,MORTGAGE,31200,22,0-15,0-8
1432,1,7500,B,RENT,40000,23,0-15,11-13.5
27906,1,7500,A,MORTGAGE,42000,29,0-15,Missing
13039,1,6000,C,RENT,90000,26,0-15,11-13.5
5386,1,8000,C,RENT,50000,23,0-15,11-13.5
16406,1,13000,A,RENT,54000,22,0-15,0-8
12880,1,20000,C,MORTGAGE,115000,28,0-15,13.5+
26066,1,3250,A,RENT,8000,23,0-15,Missing
23634,1,7500,B,RENT,36320,26,0-15,11-13.5
10628,1,3000,E,RENT,10800,36,0-15,13.5+
28502,1,10000,B,RENT,24000,37,0-15,11-Aug
11793,1,2100,B,MORTGAGE,80000,23,0-15,Missing
4740,1,14400,B,RENT,125000,25,0-15,11-13.5
541,1,7000,D,RENT,41000,37,0-15,13.5+
6091,1,5000,C,RENT,65000,28,0-15,13.5+
19668,1,15000,B,RENT,35976,23,0-15,11-Aug
3340,1,12000,D,RENT,250000,27,15-30,13.5+
10468,1,7500,C,MORTGAGE,92004,26,0-15,13.5+
25579,1,12000,A,MORTGAGE,35400,26,0-15,11-Aug
7593,1,2000,C,MORTGAGE,27385,32,0-15,11-13.5
28223,1,7200,C,MORTGAGE,64000,23,0-15,11-13.5
22038,1,16000,C,RENT,45000,27,0-15,11-13.5
29054,1,1000,C,MORTGAGE,33990,23,0-15,11-Aug
14028,1,20000,G,RENT,50000,50,0-15,13.5+
12745,1,6950,A,RENT,14400,37,0-15,0-8
8419,1,3000,B,MORTGAGE,49000,24,0-15,11-Aug
24625,0,11600,A,MORTGAGE,63000,25,0-15,Missing
21850,0,3000,A,MORTGAGE,1.00E+05,39,0-15,0-8
9248,0,6000,D,MORTGAGE,65000,39,0-15,13.5+
10516,0,10500,A,RENT,45000,22,0-15,0-8
25374,0,20000,B,RENT,1.00E+05,22,0-15,11-13.5
20652,0,3200,C,MORTGAGE,30000,22,15-30,11-13.5
1477,0,8500,A,RENT,27120,21,0-15,11-Aug
21250,0,11000,A,MORTGAGE,69000,26,0-15,Missing
9380,0,4000,C,RENT,40000,32,0-15,11-13.5
28337,0,22000,B,RENT,80000,28,0-15,11-Aug
15509,0,4000,B,RENT,72000,31,15-30,11-Aug
27229,0,3000,A,RENT,30500,28,0-15,11-Aug
21485,0,17800,B,MORTGAGE,61781,24,0-15,11-Aug
19434,0,16000,B,RENT,80000,25,0-15,11-Aug
3105,0,13700,A,MORTGAGE,50000,24,0-15,0-8
24371,0,15850,B,RENT,36000,22,0-15,11-13.5
